Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101
1777230775-54;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2874060;"5. Jornada                                                                             | dom, 27/08/17                            
                          |  17:00H";Torneo Transición (-2017);Monumental David Arellano;40.020 Espectadores;Roberto Tobar;CSD Colo-Colo;Universidad de Chile;4:1(2:1);Nicolás Orellana;Claudio Baeza;Matías Rodríguez;David Pizarro;Jorge Valdivia;Lorenzo Reyes;Octavio Rivero;Mauricio Pinilla;Gustavo Lorenzetti;;;;;;;;;;;;;;;;;;;;;;"Nicolás Orellana

                                    1. Tarjeta amarilla  , Falta";Nicolás Orellana;"Claudio Baeza

                                    3. Tarjeta amarilla  , Falta";Claudio Baeza;"Matías Rodríguez

                                    2. Tarjeta amarilla  , Falta";"David Pizarro

                                    1. Tarjeta amarilla  , Encararse con adversarios";"Jorge Valdivia

                                    4. Tarjeta amarilla  , Encararse con adversarios";Jorge Valdivia;"Lorenzo Reyes

                                    2. Tarjeta amarilla  , Falta";"Octavio Rivero

                                    2. Tarjeta amarilla  , Falta";Octavio Rivero;"Mauricio Pinilla

                                    2. Tarjeta amarilla  , Falta";"Gustavo Lorenzetti

                                    1. Tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;
1777230778-55;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3028645;"9. Jornada                                                                             | dom, 15/04/18                            
                          |  17:00H";Primera División de Chile;Nacional Julio Martínez Prádanos;43.906 Espectadores;Roberto Tobar;Universidad de Chile;CSD Colo-Colo;1:3(1:1);Claudio Baeza;Jean Beausejour;Matías Zaldivia;Mauricio Pinilla;Carlos Carmona;Matías Rodríguez;Juan Manuel Insaurralde;Felipe Campos;Jean Beausejour;Octavio Rivero;César Pinares;Lorenzo Reyes;Óscar Opazo;;;;;;;;;;;;;;;;;;"Claudio Baeza

                                    5. Tarjeta amarilla  , Falta";"Jean Beausejour

                                    3. Tarjeta amarilla  , Falta";Jean Beausejour;"Matías Zaldivia

                                    3. Tarjeta amarilla  , Falta";"Mauricio Pinilla

                                    3. Tarjeta amarilla  , Falta";Mauricio Pinilla;"Carlos Carmona

                                    3. Tarjeta amarilla  , Falta";"Matías Rodríguez

                                    3. Tarjeta amarilla  , Falta";Matías Rodríguez;"Juan Manuel Insaurralde

                                    3. Tarjeta amarilla  , Falta";"Felipe Campos

                                    2. Tarjeta amarilla  , Falta";"Jean Beausejour

                                    Tarjeta roja  , Conducta violenta";Jean Beausejour;"Octavio Rivero

                                    2. Tarjeta amarilla  , Falta";"César Pinares

                                    2. Tarjeta amarilla  , Falta";"Lorenzo Reyes

                                    Tarjeta roja  , Falta tremenda";Lorenzo Reyes;"Óscar Opazo

                                    Tarjeta roja  , Encararse con adversarios";;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;
1777230781-56;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3095467;"21. Jornada                                                                             | sáb, 25/08/18                            
                          |  17:00H";Primera División de Chile;Monumental David Arellano;35.778 Espectadores;Julio Bascuñán;CSD Colo-Colo;Universidad de Chile;1:0(0:0);Damián Pérez;Felipe Seymour;Carlos Carmona;Matías Rodríguez;Juan Manuel Insaurralde;Matías Zaldivia;Rodrigo Echeverría;David Pizarro;Sebastián Ubilla;Óscar Opazo;;;;;;;;;;;;;;;;;;;;;"Damián Pérez

                                    1. Tarjeta amarilla  , Falta tremenda";Damián Pérez;"Felipe Seymour

                                    3. Tarjeta amarilla  , Falta";"Carlos Carmona

                                    8. Tarjeta amarilla  , Falta";Carlos Carmona;"Matías Rodríguez

                                    5. Tarjeta amarilla  , Falta";"Juan Manuel Insaurralde

                                    8. Tarjeta amarilla  , Falta";Juan Manuel Insaurralde;"Matías Zaldivia

                                    6. Tarjeta amarilla  , Falta";Matías Zaldivia;"Rodrigo Echeverría

                                    2. Tarjeta amarilla  , Falta";"David Pizarro

                                    5. Tarjeta amarilla  , Protestar";"Sebastián Ubilla

                                    Tarjeta roja  , Encararse con adversarios";"Óscar Opazo

                                    2. Tarjeta amarilla  , Encararse con adversarios";Óscar Opazo;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;
1777230784-57;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3184361;"13. Jornada                                                                             | sáb, 18/05/19                            
                          |  18:00H";Primera División de Chile;Nacional Julio Martínez Prádanos;27.004 Espectadores;Eduardo Gamboa;Universidad de Chile;CSD Colo-Colo;1:1(1:0);Nicolás Oroz;Esteban Paredes;Pablo Mouche;Gabriel Suazo;Ángelo Henríquez;Juan Manuel Insaurralde;Iván Morales;Matías Rodríguez;;;;;;;;;;;;;;;;;;;;;;;"Nicolás Oroz

                                    1. Tarjeta amarilla  , Falta";Nicolás Oroz;"Esteban Paredes

                                    1. Tarjeta amarilla  , Protestar";"Pablo Mouche

                                    3. Tarjeta amarilla  , Quitarse la camiseta";"Gabriel Suazo

                                    2. Tarjeta amarilla  , Falta";"Ángelo Henríquez

                                    Tarjeta roja  , Conducta violenta";Ángelo Henríquez;"Juan Manuel Insaurralde

                                    3. Tarjeta amarilla  , Falta";"Iván Morales

                                    2. Tarjeta amarilla  , Comportamiento antideportivo";"Matías Rodríguez

                                    3. Tarjeta amarilla  , Falta";Matías Rodríguez;;;;;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;
1777230787-58;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3265814;"23. Jornada                                                                             | sáb, 05/10/19                            
                          |  20:00H";Primera División de Chile;Monumental David Arellano;38.497 Espectadores;Roberto Tobar;CSD Colo-Colo;Universidad de Chile;3:2(0:1);Iván Rossi;Branco Provoste;Camilo Moya;Nicolás Oroz;Gonzalo Espinoza;Leandro Benegas;Camilo Moya;;;;;;;;;;;;;;;;;;;;;;;;"Iván Rossi

                                    4. Tarjeta amarilla  , Falta";Iván Rossi;"Branco Provoste

                                    2. Tarjeta amarilla  , Falta";Branco Provoste;"Camilo Moya

                                    Tarjeta amarilla  , Falta";"Nicolás Oroz

                                    2. Tarjeta amarilla  , Falta";"Gonzalo Espinoza

                                    3. Tarjeta amarilla  , Falta";"Leandro Benegas

                                    5. Tarjeta amarilla  , Falta";"Camilo Moya

                                    Segunda tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;
1777230789-59;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4043219;"Final                                                                            | mié, 22/01/20                            
                          |  22:30H";Copa Chile;Germán Becker;12.259 Espectadores;Julio Bascuñán;Universidad de Chile;CSD Colo-Colo;1:2(0:2);Fernando Cornejo;Jean Beausejour;Marcos Bolados;Ángelo Henríquez;Carlos Carmona;Matías Rodríguez;;;;;;;;;;;;;;;;;;;;;;;;;"Fernando Cornejo

                                    1. Tarjeta amarilla";Fernando Cornejo;"Jean Beausejour

                                    2. Tarjeta amarilla";Jean Beausejour;"Marcos Bolados

                                    2. Tarjeta amarilla";"Ángelo Henríquez

                                    2. Tarjeta amarilla";Ángelo Henríquez;"Carlos Carmona

                                    3. Tarjeta amarilla";"Matías Rodríguez

                                    3. Tarjeta amarilla";Matías Rodríguez;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;
1777230792-60;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3459036;"9. Jornada                                                                             | dom, 06/09/20                            
                          |  21:00H";Primera División de Chile;Nacional Julio Martínez Prádanos;;Julio Bascuñán;Universidad de Chile;CSD Colo-Colo;1:1(0:1);Diego Carrasco;Gabriel Suazo;Pablo Mouche;Joaquín Larrivey;Jean Beausejour;Nicolás Blandi;Pablo Aránguiz;;;;;;;;;;;;;;;;;;;;;;;;"Diego Carrasco

                                    1. Tarjeta amarilla  , Falta";Diego Carrasco;"Gabriel Suazo

                                    1. Tarjeta amarilla  , Falta";"Pablo Mouche

                                    2. Tarjeta amarilla  , Falta";"Joaquín Larrivey

                                    1. Tarjeta amarilla  , Falta";Joaquín Larrivey;"Jean Beausejour

                                    2. Tarjeta amarilla  , Falta";Jean Beausejour;"Nicolás Blandi

                                    1. Tarjeta amarilla  , Falta";"Pablo Aránguiz

                                    3. Tarjeta amarilla  , Falta";Pablo Aránguiz;;;;;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;
1777230795-61;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3499325;"31. Jornada                                                                             | dom, 17/01/21                            
                          |  22:00H";Primera División de Chile;Monumental David Arellano;;Roberto Tobar;CSD Colo-Colo;Universidad de Chile;0:0(0:0);Gabriel Suazo;Iván Morales;Luis Mago;Osvaldo González;Jean Beausejour;;;;;;;;;;;;;;;;;;;;;;;;;;"Gabriel Suazo

                                    7. Tarjeta amarilla  , Falta";Gabriel Suazo;"Iván Morales

                                    1. Tarjeta amarilla  , Falta";Iván Morales;"Luis Mago

                                    5. Tarjeta amarilla  , Falta";"Osvaldo González

                                    2. Tarjeta amarilla  , Falta";"Jean Beausejour

                                    7. Tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;;
1777230798-62;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3538270;"5. Jornada                                                                             | dom, 25/04/21                            
                          |  22:00H";Primera División de Chile;Monumental David Arellano;;Julio Bascuñán;CSD Colo-Colo;Universidad de Chile;1:0(0:0);Daniel Gutiérrez;Ramón Arias;Camilo Moya;Yonathan Andía;Leonardo Gil;Diego Carrasco;Gabriel Suazo;;;;;;;;;;;;;;;;;;;;;;;;"Daniel Gutiérrez

                                    1. Tarjeta amarilla  , Falta";Daniel Gutiérrez;"Ramón Arias

                                    2. Tarjeta amarilla  , Falta";"Camilo Moya

                                    1. Tarjeta amarilla  , Falta";"Yonathan Andía

                                    1. Tarjeta amarilla  , Falta";"Leonardo Gil

                                    2. Tarjeta amarilla  , Quitarse la camiseta";Leonardo Gil;"Diego Carrasco

                                    2. Tarjeta amarilla  , Falta";"Gabriel Suazo

                                    Tarjeta roja  , Conducta violenta";Gabriel Suazo;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;
1777230800-63;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3659856;"22. Jornada                                                                             | dom, 26/09/21                            
                          |  21:30H";Primera División de Chile;El Teniente;2.035 Espectadores;Roberto Tobar;Universidad de Chile;CSD Colo-Colo;1:3(0:2);Brayan Cortés;Gabriel Costa;Camilo Moya;Óscar Opazo;Mario Sandoval;Emiliano Amor;;;;;;;;;;;;;;;;;;;;;;;;;"Brayan Cortés

                                    3. Tarjeta amarilla";"Gabriel Costa

                                    4. Tarjeta amarilla  , Simular ser objeto de falta";"Camilo Moya

                                    5. Tarjeta amarilla";Camilo Moya;"Óscar Opazo

                                    1. Tarjeta amarilla";"Mario Sandoval

                                    Tarjeta roja  , Conducta violenta";Mario Sandoval;"Emiliano Amor

                                    5. Tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;;
1777230803-64;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3760215;"5. Jornada                                                                             | dom, 06/03/22                            
                          |  16:00H";Primera División de Chile;Monumental David Arellano;28.895 Espectadores;Roberto Tobar;CSD Colo-Colo;Universidad de Chile;4:1(3:0);Gabriel Costa;Marcelo Morales;Cristian Palacios;Ronnie Fernández;Camilo Moya;Bastián Tapia;;;;;;;;;;;;;;;;;;;;;;;;;"Gabriel Costa

                                    2. Tarjeta amarilla  , Falta";Gabriel Costa;"Marcelo Morales

                                    1. Tarjeta amarilla  , Falta";"Cristian Palacios

                                    1. Tarjeta amarilla  , Falta";"Ronnie Fernández

                                    1. Tarjeta amarilla  , Falta";"Camilo Moya

                                    Tarjeta roja  , Falta tremenda";"Bastián Tapia

                                    Tarjeta roja  , Derribar a un adversario en una ocasión manifiesta";;;;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;
1777230806-65;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/3740250;"20. Jornada                                                                             | dom, 31/07/22                            
                          |  19:30H";Primera División de Chile;Fiscal de Talca;6.695 Espectadores;Piero Maza;Universidad de Chile;CSD Colo-Colo;1:3(1:1);Agustín Bouzat;Maximiliano Falcón;Israel Poblete;Alexander Oroz;Cristian Palacios;Juan Martín Lucero;Bastián Tapia;;;;;;;;;;;;;;;;;;;;;;;;"Agustín Bouzat

                                    1. Tarjeta amarilla  , Falta";"Maximiliano Falcón

                                    7. Tarjeta amarilla  , Falta";"Israel Poblete

                                    4. Tarjeta amarilla  , Falta";Israel Poblete;"Alexander Oroz

                                    3. Tarjeta amarilla  , Falta";"Cristian Palacios

                                    4. Tarjeta amarilla  , Falta";Cristian Palacios;"Juan Martín Lucero

                                    3. Tarjeta amarilla  , Quitarse la camiseta";"Bastián Tapia

                                    Tarjeta roja  , Falta tremenda";Bastián Tapia;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;
1777230808-66;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4037660;"8. Jornada                                                                             | dom, 12/03/23                            
                          |  22:00H";Primera División de Chile;Monumental David Arellano;37.599 Espectadores;Cristián Garay;CSD Colo-Colo;Universidad de Chile;0:0(0:0);Emmanuel Ojeda;Leandro Benegas;Nicolás Guerra;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Emmanuel Ojeda

                                    4. Tarjeta amarilla  , Falta";"Leandro Benegas

                                    1. Tarjeta amarilla  , Falta";Leandro Benegas;"Nicolás Guerra

                                    2. Tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;
1777230811-67;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4150162;"23. Jornada                                                                             | sáb, 02/09/23                            
                          |  21:00H";Primera División de Chile;Santa Laura - Universidad SEK;14.545 Espectadores;Felipe González Alveal;Universidad de Chile;CSD Colo-Colo;1:1(1:1);Nery Domínguez;Ignacio Tapia;Leandro Benegas;Carlos Palacios;Marcelo Morales;Óscar Opazo;;;;;;;;;;;;;;;;;;;;;;;;;"Nery Domínguez

                                    4. Tarjeta amarilla  , Falta";Nery Domínguez;"Ignacio Tapia

                                    3. Tarjeta amarilla  , Encararse con adversarios";Ignacio Tapia;"Leandro Benegas

                                    2. Tarjeta amarilla  , Encararse con adversarios";"Carlos Palacios

                                    2. Tarjeta amarilla  , Falta";"Marcelo Morales

                                    7. Tarjeta amarilla  , Falta";Marcelo Morales;"Óscar Opazo

                                    2. Tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;;
1777230814-68;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4280626;"4. Jornada                                                                             | dom, 10/03/24                            
                          |  22:00H";Primera División de Chile;Monumental David Arellano;30.486 Espectadores;José Cabero;CSD Colo-Colo;Universidad de Chile;0:1(0:1);Gabriel Castellón;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Gabriel Castellón

                                    1. Tarjeta amarilla  , Perder tiempo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1777230816-69;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4323806;"19. Jornada                                                                             | sáb, 10/08/24                            
                          |  21:00H";Primera División de Chile;Nacional Julio Martínez Prádanos;44.897 Espectadores;Cristián Garay;Universidad de Chile;CSD Colo-Colo;0:0(0:0);Vicente Pizarro;Israel Poblete;Lucas Cepeda;Javier Correa;Franco Calderón;;;;;;;;;;;;;;;;;;;;;;;;;;"Vicente Pizarro

                                    3. Tarjeta amarilla  , Falta";"Israel Poblete

                                    4. Tarjeta amarilla  , Falta";Israel Poblete;"Lucas Cepeda

                                    1. Tarjeta amarilla  , Falta";"Javier Correa

                                    1. Tarjeta amarilla  , Falta";"Franco Calderón

                                    8. Tarjeta amarilla  , Falta";Franco Calderón;;;;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;;
1777230819-70;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4560634;"7. Jornada                                                                             | sáb, 12/07/25                            
                          |  21:00H";Liga de Primera;Nacional Julio Martínez Prádanos;45.000 Espectadores;Piero Maza;Universidad de Chile;CSD Colo-Colo;2:1(1:1);Gonzalo Montes;Fabián Hormazábal;Emiliano Amor;Sebastián Vegas;Esteban Pavez;Charles Aránguiz;Marcelo Díaz;Maximiliano Guerrero;Marcelo Díaz;Esteban Pavez;Nicolás Guerra;;;;;;;;;;;;;;;;;;;;"Gonzalo Montes

                                    2. Tarjeta amarilla";Gonzalo Montes;"Fabián Hormazábal

                                    1. Tarjeta amarilla";Fabián Hormazábal;"Emiliano Amor

                                    2. Tarjeta amarilla  , Protestar";"Sebastián Vegas

                                    5. Tarjeta amarilla  , Falta";"Esteban Pavez

                                    Tarjeta amarilla  , Encararse con adversarios";"Charles Aránguiz

                                    2. Tarjeta amarilla  , Encararse con adversarios";Charles Aránguiz;"Marcelo Díaz

                                    Tarjeta amarilla  , Falta";Marcelo Díaz;"Maximiliano Guerrero

                                    1. Tarjeta amarilla  , Falta";Maximiliano Guerrero;"Marcelo Díaz

                                    Segunda tarjeta amarilla  , Falta";Marcelo Díaz;"Esteban Pavez

                                    Segunda tarjeta amarilla  , Encararse con adversarios";"Nicolás Guerra

                                    3. Tarjeta amarilla  , Comportamiento antideportivo";Nicolás Guerra;;;;;;;;;;;;;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;
1777230824-71;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4562729;"22. Jornada                                                                             | dom, 31/08/25                            
                          |  21:00H";Liga de Primera;Monumental David Arellano;39.222 Espectadores;Cristián Garay;CSD Colo-Colo;Universidad de Chile;1:0(0:0);Javier Correa;Franco Calderón;Esteban Pavez;Jonathan Villagra;Felipe Salomoni;Matías Sepúlveda;Charles Aránguiz;Mauricio Isla;;;;;;;;;;;;;;;;;;;;;;;"Javier Correa

                                    7. Tarjeta amarilla  , Falta";Javier Correa;"Franco Calderón

                                    Tarjeta roja  , Falta tremenda";"Esteban Pavez

                                    5. Tarjeta amarilla  , Falta";Esteban Pavez;"Jonathan Villagra

                                    2. Tarjeta amarilla  , Falta";Jonathan Villagra;"Felipe Salomoni

                                    2. Tarjeta amarilla  , Falta";"Matías Sepúlveda

                                    3. Tarjeta amarilla  , Falta";"Charles Aránguiz

                                    4. Tarjeta amarilla  , Falta";"Mauricio Isla

                                    3. Tarjeta amarilla  , Falta";Mauricio Isla;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;
1777230826-72;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4497722;"Final                                                                            | dom, 14/09/25                            
                          |  20:00H";Supercopa de Chile;Santa Laura - Universidad SEK;2.000 Espectadores;Felipe González Alveal;CSD Colo-Colo;Universidad de Chile;0:3(0:2);Charles Aránguiz;Lucas Assadi;Claudio Aquino;Javier Altamirano;Sebastián Vegas;Daniel Gutiérrez;Matías Zaldivia;Nicolás Guerra;Emiliano Amor;Arturo Vidal;;;;;;;;;;;;;;;;;;;;;"Charles Aránguiz

                                    1. Tarjeta amarilla  , Falta";"Lucas Assadi

                                    1. Tarjeta amarilla  , Falta táctica";"Claudio Aquino

                                    1. Tarjeta amarilla  , Falta";Claudio Aquino;"Javier Altamirano

                                    1. Tarjeta amarilla  , Simular ser objeto de falta";"Sebastián Vegas

                                    Tarjeta roja  , Derribar a un adversario en una ocasión manifiesta";Sebastián Vegas;"Daniel Gutiérrez

                                    1. Tarjeta amarilla  , Falta";Daniel Gutiérrez;"Matías Zaldivia

                                    1. Tarjeta amarilla  , Mano";"Nicolás Guerra

                                    1. Tarjeta amarilla  , Encararse con adversarios";"Emiliano Amor

                                    1. Tarjeta amarilla  , Encararse con adversarios";Emiliano Amor;"Arturo Vidal

                                    1. Tarjeta amarilla  , Falta";Arturo Vidal;;;;;;;;;;;;;;;;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;
